Tên sản phẩm,Số sao,Xuất xứ,Loại sản phẩm,Hệ thống phân phối,Từ khóa,Trang Web,Mô tả
Xúc xích thịt lợn Sáng Nhung,4,Tuyên Quang,Xúc-xích,"Nhà sản xuất, hệ thống siêu thị và sàn thương mại điện tử","Xúc xích thịt lợn Sáng Nhung, OCOP Tuyên Quang, OCOP 4 sao, đặc sản Tuyên Quang, HTX Sáng Nhung, xúc xích, thịt lợn thảo dược",,"Xúc xích thịt lợn Sáng Nhung là xúc xích lợn thảo dược xông khói, làm từ nguyên liệu thịt tươi và chất lượng nhất. Nhờ đó, mùi vị của sản phẩm ngon, giòn và vị thơm đặc trưng của thịt thảo dược, mang hương vị tự nhiên. Sản phẩm đã được công nhận OCOP 4 sao của tỉnh Tuyên Quang năm 2023."
Xúc xích heo Thủy Mộc,3,Hà Tĩnh,Xúc-xích,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Xúc xích heo Thủy Mộc, đặc sản Hương Sơn, OCOP 3 sao, OCOP Hà Tĩnh",,"Xúc xích heo Thủy Mộc được làm từ thịt lợn nguyên chất; không chất bảo quản; đóng gói: 500gr/10 cái. Có thể chiên, xào, nướng tùy khẩu vị. Sản phẩm đạt chứng nhận OCOP 3 sao."
Thịt bồ câu Thủy Mộc,3,Hà Tĩnh,Bồ câu,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","đặc sản Hương Sơn, OCOP 3 sao, OCOP Hà Tĩnh, Thịt bồ câu Thủy Mộc",,"Thịt bồ câu có hàm lượng protein và chất béo ít hơn thịt gà, song lại giàu chất khoáng, vitamin hơn, thích hợp bồi bổ cơ thể, tăng tốc phục hồi chức năng và chữa lành vết thương của người bệnh sau khi ốm dậy. Sản phẩm đạt chứng nhận OCOP 3 sao."
Cam Khe Mây Long Nhâm,3,Hà Tĩnh,Cam,"Nhà sản xuất, hệ thống cửa hàng OCOP, sàn thương mại điện tử","Cam Khe Mây Long Nhâm, Cam Khe Mây, OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh, cam",,"Cam Khe Mây vỏ lúc non màu xanh thẫm, lúc chín màu vàng sáng, vỏ cam sần sùi, lớp thịt dày, tép cam mọng nước và có vị ngọt thanh đặc trưng riêng của chất đất Khe Mây núi rừng Hương Khê. Sản phẩm được công nhận đạt OCOP 3 sao vào năm 2019 và được công nhận lại vào năm 2024."
Bánh tráng Thi Chung,3,Đà Nẵng,Bánh tráng,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Bánh tráng Thi Chung, bánh đa, OCOP 3 sao, OCOP Đà Nẵng",,"Bánh tráng Thi Chung có mè phủ kín hai mặt bánh, khi ăn có hương vị thơm, bùi thật riêng… Miếng bánh đa quê hóa ký ức nặng tình thương của biết bao thế hệ. Sản phẩm đạt chứng nhận OCOP 3 sao của thành phố Đà Nẵng."
Nấm đông trùng hạ thảo tươi Fungi,4,Cần Thơ,Đông trùng hạ thảo,,"OCOP 4 sao, OCOP Cần Thơ, đặc sản Cần Thơ, nấm đông trùng hạ thảo Fungi, đông trùng hạ thảo",https://duocthaofungi.com,"Đông trùng hạ thảo tươi Fungi được sản xuất trong môi trường vô trùng với quy trình công nghệ hiện đại đặc biệt không hóa chất, không chất bảo quản, bảo đảm hàm lượng dược chất cao nhất. Sản phẩm đã được cấp chứng nhận OCOP 4 sao của thành phố Cần Thơ năm 2023."
Giò nuôi tiêu,3,Hà Tĩnh,Giò chả,"Bán trực tiếp tại cơ sở, các đại lý","Giò Nuôi Tiêu, OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh, giò chả",,"Được chế biến theo công thức gia truyền, hương vị thơm ngon. Đảm bảo vệ sinh an toàn thực phẩm. Là sản phẩm Ocop 3 sao tỉnh Hà Tĩnh."
Cải bẹ trắng 500g Afarm,4,Đà Nẵng,Rau cải,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Cải bẹ trắng 500g Afarm, OCOP 4 sao, OCOP Đà Nẵng",https://afarm.vn/,"Cải bẹ trắng 500g Afarm là loại rau ngon trong ẩm thực Việt, trong rau chứa nhiều thành phần dinh dưỡng có lợi cho sức khỏe. Sản phẩm đạt chứng nhận OCOP 4 sao của thành phố Đà Nẵng."
Đậu bắp Túy Loan,4,Đà Nẵng,Đậu bắp,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Đậu bắp Túy Loan, OCOP 4 sao, OCOP Đà Nẵng",,"Đậu bắp chứa nhiều chất xơ, giàu dinh dưỡng, nhiều vitamin,… rất hữu ích cho hệ tiêu hóa, tim mạch, chống ung thư, tốt cho da và mắt,... Đậu bắp Túy Loan luôn rất được ưa chuộng để chế biến những món ăn hằng ngày. Sản phẩm đạt chứng nhận OCOP 4 sao của thành phố Đà Nẵng."
Rau xà lách Túy Loan,4,Đà Nẵng,Rau xà lách,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Rau xà lách Túy Loan, OCOP 4 sao, OCOP Đà Nẵng",,"Rau xà lách có thể được mệnh danh là món ăn “quốc dân”, có mặt trong hầu hết các bữa ăn hằng ngày của gia đình, tốt cho sức khỏe với hàm lượng vitamin A dồi dào, các hợp chất chống oxy hóa như beta-carotene, lutein, giúp bảo vệ cơ thể khỏi các bệnh tim mạch, ung thư và thoái hóa điểm vàng... Sản phẩm đạt chứng nhận OCOP 4 sao của thành phố Đà Nẵng."
Giá sạch Hồng Nhung,4,Cần Thơ,Rau giá,"Phân phối qua các đại lý, cửa hàng nông sản, các chợ trên địa bàn trong và ngoài tỉnh.","Giá sạch Hồng Nhung, OCOP 4 sao, OCOP Cần Thơ",https://www.facebook.com,"Sản phẩm Giá sạch Hồng Nhung được sản xuất và đóng gói với quy trình nghiêm ngặt và bảo đảm vệ sinh, với công thức ủ gia truyền mang lại hương vị thơm ngon, giòn tự nhiên. Sản phẩm không chứa chất bảo quản hay hóa chất độc hại, nguyên liệu tươi ngon và an toàn. Sản phẩm Giá sạch Hồng Nhung được cấp chứng nhận OCOP 4 sao năm 2022 của thành phố Cần Thơ."
Bí đao Túy Loan,4,Đà Nẵng,Bí xanh,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Bí đao Túy Loan, OCOP 4 sao, OCOP Đà Nẵng",,"Ngoài làm thực phẩm, bí xanh còn có thể dùng trong đông y, có tác dụng lợi tiểu, mát gan, giải độc, làm đẹp da và giảm cân. Bí xanh có thể chế biến thành các món ăn như: luộc, xào, nấu canh đều rất ngon. Sản phẩm đạt chứng nhận OCOP 4 sao của thành phố Đà Nẵng."
Rau mồng tơi Túy Loan,4,Đà Nẵng,Rau mồng tơi,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Rau mồng tơi Túy Loan, OCOP 4 sao, OCOP Đà Nẵng",,"Rau mồng tơi Túy Loan lá tươi chứa nhiều vitamin (chủ yếu là vitamin A và B); cây chứa protein, calcium, sắt, vitamin, chất nhầy. Mồng tơi có tác dụng thanh nhiệt, giải độc, nhuận tràng, giảm đau, thông tiện. Chủ trị táo bón, ít sữa, tiểu buốt, tiểu rắt, đau mỏi xương khớp... Sản phẩm đạt chứng nhận OCOP 4 sao của thành phố Đà Nẵng."
Bánh khô mè đen Bà Liễu Mẹ hộp 250g (gạo lứt),4,Đà Nẵng,Bánh khô mè,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Bánh khô mè đen Bà Liễu Mẹ, OCOP 4 sao, OCOP Đà Nẵng",https://banhkhome.com/,"Bánh khô mè Bà Liễu Mẹ là một đặc sản ngon nổi tiếng vùng đất Quảng Nam-Đà Nẵng, được làm từ bột gạo, bột nếp, đường, gừng, mè. Bánh khô mè có ruột xốp giòn, đường dẻo, mè rang đủ độ chín thơm, khi bẻ đôi chiếc bánh ta thấy đường kéo thành sợi tơ vàng mảnh. Sản phẩm đạt chứng nhận OCOP 4 sao của thành phố Đà Nẵng."
Rượu vắt nếp cái hoa vàng 1908,3,Bình Dương,Rượu,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Rượu vắt nếp cái hoa vàng, OCOP 3 sao, OCOP Bình Dương, đặc sản Bình Dương, rượu nếp",http://ruou1908.com.vn/,"Với những thành phần được chắt lọc và tuyển chọn kỹ càng, Rượu vắt nếp cái hoa vàng 1908 luôn mang đến hương vị thơm ngon bởi các thành phần: Gạo tẻ, nếp cái hoa vàng, men rượu thuốc bắc, nước .Rượu nếp cái hoa vàng sẽ ngon hơn khi uống lạnh. Lắc đều trước khi uống sẽ làm cho hương vị thơm và đậm vị hơn."
Mỳ gạo ngũ sắc,4,Bắc Giang,Mỳ gạo,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Mỳ gạo ngũ sắc, Mỳ gạo ngũ sắc Hằng Hiếu, OCOP 4 sao, OCOP Bắc Giang, đặc sản Bắc Giang",https://htxhanghieu.com,"Mỳ gạo ngũ sắc Hợp tác xã dịch vụ nông nghiệp Hằng Hiếu được sản xuất từ những hạt gạo chất lượng cao hòa quyện cùng tinh chất các loại rau quả tự nhiên và nguồn nước tinh khiết nơi núi đồi Lục Ngạn. Sản phẩm không sử dụng chất bảo quản, bảo đảm vệ sinh an toàn thực phẩm. Sản phẩm được Ủy ban nhân dân tỉnh Bắc Giang chứng nhận đạt OCOP 4 sao vào tháng 11/2024."
Bưởi Phúc Trạch Bắc Sơn,3,Hà Tĩnh,Quả bưởi,"Cơ sở sản xuất, các đại lý, siêu thị, sàn thương mại điện tử","Bưởi Phúc Trạch Bắc Sơn, Bưởi Phúc Trạch, OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh",,"Bưởi Phúc Trạch Bắc Sơn quả to, tròn đều, mầu vàng xanh, khi bóc ra tép bưởi có mầu hồng nhạt hoặc mầu trắng trong, khi thưởng thức có mùi thơm nhẹ đặc trưng tự nhiên, có vị ngọt thanh mát. Sản phẩm được Ủy ban nhân dân tỉnh Hà Tĩnh chứng nhận đạt OCOP 3 sao vào tháng 2/2022."
Rượu vắt Kim Ngọc tửu 1908,3,Bình Dương,Rượu,,"Rượu vắt Kim Ngọc tửu 1908, OCOP 3 sao, OCOP Bình Dương, đặc sản Bình Dương, rượu nếp",http://ruou1908.com.vn/,"Rượu vắt Kim Ngọc tửu 1908 được ủ trên 120 ngày và phương thức lên men 2 lần, để tạo nên hương vị êm ái và say nồng của thương hiệu rượu vắt thủ công 1908. Sản phẩm thuộc dòng rượu thủ công, với những thành phần nổi trội như gạo tẻ, nếp cẩm, nếp cái hoa vàng, đậu nành, đậu đen, men rượu truyền thống, nước. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Bình Dương."
Rượu vắt nếp cẩm 1908,3,Bình Dương,Rượu,"Nhà sản xuất, hệ thống siêu thị và sàn thương mại điện tử","Rượu vắt nếp cẩm 1908, OCOP 3 sao, OCOP Bình Dương, rượu nếp, đặc sản Bình Dương",http://ruou1908.com.vn/,"Rượu vắt nếp cẩm 1908 được sản xuất từ những hạt nếp cẩm chọn lọc, trải qua quy trình lên men tỉ mỉ để tạo nên hương vị tinh tế nhất. Với tỷ lệ cân đối giữa độ ngọt và độ cồn, rượu mang đến sự cân bằng hoàn hảo. Sản phẩm đã được cấp chứng nhận OCOP 3 sao năm 2022 của tỉnh Bình Dương."
Trà hoa cúc chi,3,Bắc Giang,,"Trong và ngoài tỉnh, sàn thương mại điện tử","Trà hoa cúc chi, OCOP 3 sao, OCOP Bắc Giang, đặc sản Bắc Giang",,"Trà hoa cúc chi của HTX Lục Ngạn Xanh được sấy khô bằng nguyên liệu hoa cúc chi, được sản xuất an toàn, thuận tự nhiên, không sử dụng phân bón và thuốc bảo vệ thực vật hóa học. Trà có mùi vị tự nhiên, thơm dịu, dễ uống. Sản phẩm đã được chứng nhận đạt OCOP 3 sao vào 8/2024."
Bưởi Phúc Trạch Thảo Vân,3,Hà Tĩnh,Quả bưởi,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Bưởi Phúc Trạch Thảo Vân, Bưởi Phúc Trạch, OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh",,Bưởi Phúc Trạch Thảo Vân được trồng và chăm sóc theo quy trình VietGAP. Tép bưởi màu hồng hoặc màu trắng. Sản phẩm được chứng nhận đạt chuẩn OCOP 3 sao vào năm 2022.
Bưởi Phúc Trạch Nhật Hằng,3,Hà Tĩnh,Quả bưởi,"cơ sở sản xuất, các đại lý, siêu thị, sàn thương mại điện tử","Bưởi Phúc Trạch Nhật Hằng, Bưởi Phúc Trạch, OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh",,"Bưởi Phúc Trạch Nhật Hằng có tép màu hồng nhạt hoặc trắng trong, mùi thơm nhẹ tự nhiên hơi đặc trưng, có vị ngọt thanh mát. Sản phẩm được Ủy ban nhân dân tỉnh Hà Tĩnh cấp chứng nhận đạt chuẩn OCOP 3 sao vào năm 2022."
Kẹo cu đơ Hoàng Nguyên,3,Hà Tĩnh,Kẹo cu đơ,"Hệ thống Ocop tỉnh, các trạm dừng chân trên cả nước. Sàn giao dịch thương mại Hà Tĩnh Fanpage: Cudohoangnguyen Wed: cudohoangnguyen.vn Zalo: cudo Hoàng Nguyên (0978.753.022)","OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh, kẹo cu đơ Hoàng Nguyên, kẹo cu đơ",,"Kẹo cu đơ là một trong các loại kẹo đặc sản Hà Tĩnh được khách hàng ở khắp các tỉnh đón nhận. Khi thưởng thức chúng ta sẽ cảm nhận được hương vị đặc trưng riêng, từ mùi hương ngọt ngào của đường mía, một chút nồng nồng cay cay của gừng, hương thơm béo ngậy của lạc và âm thanh giòn tan của bánh tráng. Sản phẩm được chứng nhận đạt chuẩn OCOP 3 sao của tỉnh Hà Tĩnh vào năm 2022."
Nấm bào ngư Hải Yến,3,Hà Tĩnh,Nấm,"Hệ thống của hàng OCOP, nhà hàng, cửa hàng, sàn thương mại điện tử, Wed: namhaiyen.com Fanpage: Nấm Bào Ngư – HTX Hải Yến Zalo: Hải Yến","OCOP 3 sao, OCOP Hà Tĩnh, nấm bào ngư Hải Yến, nấm bào ngư, đặc sản Hà Tĩnh",,"Nấm bào ngư Hải Yến được sản xuất từ các nguyên liệu địa phương, bảo đảm an toàn và giàu chất dinh dưỡng phù hợp với mọi khách hàng. Sản phẩm được UBND tỉnh Hà Tĩnh công nhận đạt chuẩn OCOP 3 sao vào năm 2022."
Giò dăm bông Sáng Nhung,3,Tuyên Quang,Giò chả,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","giò dăm bông, Giò dăm bông Sáng Nhung, OCOP Tuyên Quang, OCOP 3 sao, đặc sản Tuyên Quang, HTX Sáng Nhung",,"Giò dăm bông Sáng Nhung được làm từ thịt lợn thảo dược tươi ngon, được chế biến theo công thức riêng, bảo đảm hương vị thơm ngon. Giò có màu hồng bắt mắt, thịt dăm bông dẻo dai, thịt mềm, da lợn dai giòn. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Tuyên Quang."
Lạp xưởng lợn Sáng Nhung,3,Tuyên Quang,Lạp xưởng,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Lạp xưởng lợn Sáng Nhung, OCOP Tuyên Quang, OCOP 3 sao, đặc sản Tuyên Quang, lạp xưởng, HTX Sáng Nhung",,"Lạp xưởng lợn Sáng Nhung là sự kết hợp hoàn hảo giữa thịt lợn thảo dược chất lượng cao và công thức gia truyền đặc biệt. Lạp xưởng không chỉ thơm ngon mà còn bảo đảm an toàn cho sức khỏe, nhờ nguyên liệu được chăn nuôi tự nhiên với thảo dược. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Tuyên Quang."
Thịt lợn Sáng Nhung,4,Tuyên Quang,Thịt tươi,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","OCOP 4 sao, Thịt lợn Sáng Nhung, OCOP Tuyên Quang, đặc sản Tuyên Quang, thịt lợn, HTX Sáng Nhung",,"Thịt lợn thảo dược của Hợp tác xã Sáng Nhung ngon và an toàn tuyệt đối cho sức khỏe người tiêu dùng nhờ vào quy trình chăn nuôi tự nhiên và sạch sẽ, với cam kết 5 không. Sản phẩm đã được công nhận OCOP 4 sao của tỉnh Tuyên Quang."
Giò lụa thịt lợn Sáng Nhung,4,Tuyên Quang,Giò lụa,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Giò lụa thịt lợn Sáng Nhung, OCOP Tuyên Quang, OCOP 4 sao, đặc sản Tuyên Quang, giò lụa, HTX Sáng Nhung",,"Giò lụa thịt lợn thảo dược Sáng Nhung có nguyên liệu chính là từ thịt lợn thảo dược. Lợn được nuôi bằng thức ăn thảo dược, thức ăn không có thành phần đạm động vật, không kháng sinh, không chất cấm. Nhờ đó, giò lụa có vị thơm ngon, giàu dinh dưỡng hơn thịt lợn thông thường. Sản phẩm đã được công nhận OCOP 4 sao của tỉnh Tuyên Quang."
Rượu sen Hồng Liên Tửu,3,Hà Tĩnh,Rượu,"https://senhaothanh.com/, các đại lý, sàn thương mại điện tử","OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh, rượu sen Hồng Liên Tửu, rượu sen, Công ty CP Sen Hà Tĩnh",https://senhaothanh.com/,"Rượu sen Hồng Liên tửu được làm từ rượu nếp truyền thống tinh cất từ nếp cái hoa vàng hảo hạng, ướp hương hoa sen bách diệp. Qua quá trình ngâm ủ, cẩn thận tỉ mỉ trong từng công đoạn, tạo nên vị rượu cay nhẹ, êm dịu, nồng nàn hương sen. Sản phẩm vừa được công nhận OCOP 3 sao của tỉnh Hà Tĩnh vào tháng 11/2024."
Rượu Đông trùng hạ thảo Fungi,4,Cần Thơ,Rượu,,"Rượu Đông trùng hạ thảo, OCOP 4 sao, OCOP Cần thơ, thành phố Cần Thơ, Rượu Đông trùng hạ thảo",https://duocthaofungi.com/,"Rượu Đông trùng hạ thảo Fungi giúp bồi bổ cơ thể, giảm cholesterol, ngăn ngừa và hỗ trợ điều trị bệnh gan nhiễm mỡ, mỡ máu, cao huyết áp. Ổn định đường huyết. Thanh nhiệt, giải độc gan, bảo vệ tế bào gan. Hỗ trợ tăng cường chức năng thận; bảo vệ tim mạch. Tăng cường quá trình trao đổi chất, kích thích cảm giác thèm ăn, giúp ăn được ngủ ngon. Ngăn ngừa và hỗ trợ điều trị các bệnh về đường hô hấp..."
Giò lụa Hường Quý,3,Hà Tĩnh,Giò lụa,"Cơ sở sản xuất, các đại lý, siêu thị, sàn thương mại điện tử","Giò lụa Hường Quý, OCOP 3 sao, OCOP Hà Tĩnh, Giò lụa, đặc sản Hà Tĩnh",,"Giò lụa Hường Quý là sự kết hợp giữa nghề truyền thống làm giò chả lâu đời của gia đình và công nghệ, máy móc hiện đại nhằm bảo đảm sản phẩm vừa đạt tiêu chuẩn vệ sinh an toàn thực phẩm, tăng cao năng suất mà vẫn giữ nguyên hương vị truyền thống vốn có của sản phẩm. Sản phẩm được công nhận OCOP 3 sao của tỉnh Hà Tĩnh năm 2023."
Mắm cá sặc Tư Hon,4,Cần Thơ,,"https://nuocmamtuhon.com/, các đại lý, sàn thương mại điện tử","Nước mắm cá sặc Tư Hon, OCOP 4 sao, OCOP Cần Thơ, nước mắm, đặc sản Cần Thơ, cá sặc, nước mắm Tư Hon",https://nuocmamtuhon.com/,"Nước mắm cá sặc Tư Hon làm từ cá tươi được chế biến theo công thức truyền thống. Thời gian ủ từ 18 tháng trở lên, được theo dõi đảo đánh định kỳ. Đặc biệt, toàn bộ cá ủ xong đều phải được nấu chín theo phương pháp truyền thống, giữ nguyên độ lửa, nấu chín 100 độ C. Sản phẩm có vị ngọt, thơm của cá, nước mắm sánh và có màu nâu cánh gián mà hiếm nơi nào có được. Sản phẩm đã được công nhận OCOP 4 sao của thành phố Cần Thơ."
Sợi sấy thăng hoa đông trùng hạ thảo Agrimush,4,Cần Thơ,Đông trùng hạ thảo,"https://agrimush.com/, các đại lý, sàn thương mại điện tử","Sợi sấy thăng hoa đông trùng hạ thảo Agrimush, OCOP 4 sao, OCOP Cần Thơ, đặc sản Cần Thơ, Đông trùng hạ thảo",https://agrimush.com/,"Sợi sấy thăng hoa đông trùng hạ thảo Agrimush dùng cho người bệnh về phổi (hen suyễn, viêm phế quản…); người bị tiểu đường, bồi bổ cho thận, tốt cho gan, huyết áp và tim mạch. Ngoài ra, sản phẩm dùng tẩm bổ cho người gầy yếu, phục hồi sức khỏe cho người già và người mới ốm dậy, tăng sức đề kháng, tăng cường sinh lực, chống lão hóa, đẹp da ăn ngon ngủ ngon…"
Cam xoàn Lê Vinh,3,Cần Thơ,Cam,"Nhà sản xuất, hệ thống siêu thị và sàn thương mại điện tử","Cam xoàn Lê Vinh, OCOP 3 sao, OCOP Cần Thơ, Cam xoàn, đặc sản Cần Thơ",,"Cam xoàn Lê Vinh có hương vị ngọt thanh tự nhiên, không quá gắt, giúp giải khát và bổ sung năng lượng. Với lớp vỏ mỏng, ruột mọng nước, cam xoàn mang đến trải nghiệm sảng khoái và thơm ngon. Ngoài ra, cam xoàn còn là nguồn cung cấp vitamin C dồi dào, giúp tăng cường sức đề kháng, hỗ trợ hệ miễn dịch và bảo vệ sức khỏe tim mạch. Sản phẩm được công nhận OCOP 3 sao của thành phố Cần Thơ năm 2023."
Trà mãng cầu Long Giang,4,Cần Thơ,,"https://www.sumofood.vn/, các đại lý, siêu thị, sàn thương mại điện tử","Trà mãng cầu Long Giang, OCOP 4 sao, OCOP Cần Thơ, Trà mãng cầu, đặc sản Cần Thơ",https://www.sumofood.vn/,"Trà mãng cầu Long Giang được sản xuất 100% từ thịt trái mãng cầu xiêm tươi nguyên chất. Trà có tác dụng an thần tạo giấc ngủ sâu, hỗ trợ điều hòa huyết áp, tăng sức đề kháng và thanh lọc cơ thể, hỗ trợ tiêu hóa tốt, phòng ngừa loãng xương, chống oxy hóa. Sản phẩm đạt chứng nhận OCOP 4 sao năm 2024 của thành phố Cần Thơ."
Nước mắm nhỉ Tư Hon,4,Cần Thơ,,"https://nuocmamtuhon.com/, các đại lý, cơ sở sản xuất","Nước mắm nhỉ Tư Hon, OCOP 4 sao, OCOP Cần Thơ, Nước mắm, nước mắm Tư hon, đặc sản Cần Thơ",https://nuocmamtuhon.com/,Với hương vị nước mắm cá cơm tự nhiên được nấu bằng phương pháp truyền thống kết hợp với công nghệ hiện đại. nước mắm nhỉ Tư Hon sẽ mang lại bữa ăn ngon và bảo đảm sức khỏe cho mọi gia đình. Sản phẩm Nước mắm nhỉ Tư Hon đã được cấp chứng nhận OCOP 4 sao của thành phố Cần Thơ năm 2023.
Nước mắm cá cơm thượng hạng Tư Hon,4,Cần Thơ,,"https://nuocmamtuhon.com/, các đại lý, siêu thị, sàn thương mại điện tử","Nước mắm cá cơm thượng hạng Tư Hon, OCOP 4 sao, OCOP Cần Thơ, Nước mắm, đặc sản Cần Thơ, nước mắm Tư Hon",https://nuocmamtuhon.com/,Nước mắm cá cơm thượng hạng Tư Hon được ủ chượp trên 18 tháng. Người làm nước mắm phải thực hiện qua nhiều công đoạn tỉ mỉ và đòi hỏi nhiều kinh nghiệm trong khâu chế biến để điều chỉnh đúng khẩu vị đem đến cho người tiêu dùng dòng nước mắm đúng “gu” đậm dịu và an toàn nhất. Sản phẩm đã đạt chứng nhận OCOP 4 sao của thành phố Cần Thơ.
Trứng chim trĩ Hưng Long,3,Cần Thơ,Trứng,"Cơ sở sản xuất, các đại lý, siêu thị, sàn thương mại điện tử","Trứng chim trĩ đỏ, OCOP 3 sao, OCOP Cần Thơ, Trứng chim trĩ, đặc sản Cần Thơ",,"Trứng chim trĩ có nhiều công dụng cho sức khỏe và cung cấp năng lượng, tăng cường sức khỏe tim mạch, bổ sung chất dinh dưỡng, tăng cường miễn dịch, giảm căng thẳng. Ngoài ra, trứng chim trĩ được sử dụng trong nhiều liệu pháp truyền thống để chữa bệnh và cải thiện sức khỏe, như trị dạ dày, tiêu chảy, ho, cảm lạnh, tiểu đường, vàng da và táo bón. Đây là sản phẩm OCOP 3 sao của thành phố Cần Thơ."
Chim trĩ thịt Hưng Long,3,Cần Thơ,Thực phẩm đông lạnh,"Cơ sở sản xuất, các đại lý, siêu thị, sàn thương mại điện tử","Chim trĩ thịt Hưng Long, OCOP 3 sao, OCOP Cần Thơ, thịt chim trĩ, đặc sản Cần Thơ",,"Thịt chim trĩ là nguồn thực phẩm có thành phần dinh dưỡng giàu protein, chứa nhiều acid amin thiết yếu với con người, có tác dụng bồi bổ cho người mới ốm dậy, phụ nữ sau khi sinh, trẻ em còi xương, thuốc bổ quý về sinh lý cho nam giới. Sản phẩm đã được cấp chứng nhận OCOP 3 sao năm 2023 của thành phố Cần Thơ."
Chả mực tươi Bắc Đẩu,4,Đà Nẵng,Chả mực,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Chả mực tươi Bắc Đẩu, OCOP 4 sao, OCOP Đà Nẵng, chả mực, đặc sản Đà Nẵng",https://bacdauseafood.com.vn/,"Chả mực Bắc Đẩu được chế biến hoàn toàn từ thịt mực mai tươi và các nguyên liệu khác rồi giã tay. Nhờ đó, chất dinh dưỡng trong mực vẫn được bảo toàn một cách vẹn nguyên nhất. Đây cũng là thương hiệu nổi tiếng được người Đà Nẵng khuyên dùng vì vị ngon, chất lượng bảo đảm và hoàn toàn không hàn the. Sản phẩm đạt chứng nhận OCOP 4 sao của thành phố Đà Nẵng."
Mực khô Hạng Huệ,3,Đà Nẵng,Mực khô,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Mực khô Hạng Huệ, OCOP 3 sao, OCOP Đà Nẵng, mực khô, đặc sản Đà Nẵng",,Mực khô Hạng Huệ đã trở thành sản phẩm đặc trưng không chỉ trên địa bàn quận Thanh Khê mà còn là đặc sản quà tặng của khách du lịch khi đến thành phố Đà Nẵng. Sản phẩm đạt chứng nhận OCOP 3 sao của thành phố Đà Nẵng.
Trà sen Hào Thành,3,Hà Tĩnh,Trà sen,"https://senhaothanh.com/, các đại lý, sàn thương mại điện tử","Trà sen Hào Thành, trà sen, OCOP Hà Tĩnh, OCOP 3 sao, đặc sản Hà Tĩnh, Công ty CP Sen Hà Tĩnh",https://senhaothanh.com/,"Sau 2 năm xây dựng thương hiệu, trà sen Hào Thành đã chính thức được công nhận đạt chuẩn OCOP 3 sao. Bước tiến này không chỉ mở ra cơ hội tìm kiếm thị trường lớn hơn cho sản phẩm trà sen còn là nét văn hóa của người Thành Sen."
Mực 3 nắng Hạng Huệ,3,Đà Nẵng,Mực 3 nắng,"Sàn thương mại điện tử, siêu thị, hội chợ, các đại lý...","Mực 3 nắng Hạng Huệ, OCOP 3 sao, OCOP Đà Nẵng, mực 3 nắng",,"Mực 3 nắng Hạng Huệ luôn là lựa chọn hàng đầu của khách du lịch khi đến với vùng biển Thanh Khê nói riêng và Đà Nẵng nói chung. Mực 3 nắng chứa nhiều chất dinh dưỡng giúp tăng cường hệ miễn dịch, sức đề kháng. Ngoài ra, mực còn chứa magie, một loại khoáng chất có tác dụng thư giãn thần kinh và cơ bắp. Sản phẩm đạt chứng nhận OCOP 3 sao của thành phố Đà Nẵng."
Nem Huế Bá Lộc,3,Cần Thơ,Nem,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Nem Huế, OCOP 3 sao, OCOP Cần Thơ, đặc sản Cần Thơ, Nem Huế Bá Lộc",,"Nem Huế Bá Lộc với nguyên liệu tươi tự nhiên, chế biến sạch sẽ, nguyên chất. Không dùng phẩm màu, hàn the và chất bảo quản, đạt tiêu chuẩn vệ sinh an toàn thực phẩm. Sản phẩm Nem Huế Bá Lộc đã được cấp chứng nhận OCOP 3 sao năm 2023 của thành phố Cần Thơ."
